Subsidies Claimed,Government Schemes Accessed,Program Name,Scheme Enrollment Status,Vaccination Status,Health Insurance Linked,Consent Given for Data Sharing,Data Breach Status,Breach Date
58436.26851830154,Other,LPG Subsidy,Not Enrolled,Not Vaccinated,No,Yes,No,
55385.32622499284,MGNREGA,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,No,Yes,Yes,2020-11-04
32744.922783277918,MGNREGA,Direct Benefit Transfer,Not Enrolled,Vaccinated,Yes,Yes,Yes,2023-10-25
68337.99005811615,Other,LPG Subsidy,Enrolled,Vaccinated,Yes,Yes,Yes,2022-12-21
16124.70073362287,PDS,LPG Subsidy,Not Enrolled,Vaccinated,No,Yes,Yes,2010-07-25
-91871.70191481063,PDS,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,No,Yes,No,
9343.34369349954,MGNREGA,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,No,No,No,
21098.37654173488,PDS,Direct Benefit Transfer,Enrolled,Vaccinated,Yes,Yes,Yes,2015-08-04
18760.009273977063,MGNREGA,Direct Benefit Transfer,Enrolled,Vaccinated,No,Yes,Yes,2022-02-03
53163.80083929273,MGNREGA,Other,Enrolled,Vaccinated,No,Yes,Yes,2017-05-05
-10064.931397918102,MGNREGA,Direct Benefit Transfer,Not Enrolled,Vaccinated,Yes,Yes,Yes,2012-09-02
9078.078692798703,Other,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,Yes,2018-04-27
32048.485265146835,Other,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,No,
51684.22902125721,MGNREGA,Other,Enrolled,Vaccinated,Yes,No,Yes,2023-04-26
173436.46143242987,PDS,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,No,No,No,
-27285.07510291817,PDS,Other,Enrolled,Vaccinated,No,No,No,
79328.57141068435,Other,Direct Benefit Transfer,Enrolled,Vaccinated,No,Yes,No,
55505.221671520805,PDS,Other,Not Enrolled,Vaccinated,No,No,No,
29227.29682584126,MGNREGA,Other,Enrolled,Vaccinated,No,Yes,No,
77293.31753985275,MGNREGA,Direct Benefit Transfer,Enrolled,Not Vaccinated,No,Yes,No,
38904.54300253969,MGNREGA,Other,Not Enrolled,Vaccinated,No,Yes,Yes,2018-04-01
21397.762522733126,PDS,LPG Subsidy,Not Enrolled,Not Vaccinated,No,No,No,
81876.60869775133,PDS,LPG Subsidy,Enrolled,Not Vaccinated,No,Yes,Yes,2011-11-18
28586.1356363116,PDS,Other,Not Enrolled,Vaccinated,No,No,No,
-5048.255253830968,Other,Other,Enrolled,Vaccinated,Yes,No,No,
-2911.61272469945,Other,LPG Subsidy,Not Enrolled,Not Vaccinated,No,Yes,Yes,2023-09-07
84856.38490613451,Other,LPG Subsidy,Enrolled,Not Vaccinated,Yes,Yes,Yes,2010-05-20
8326.441754321724,Other,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,Yes,2018-01-27
-112540.17463831755,PDS,Direct Benefit Transfer,Enrolled,Vaccinated,No,No,Yes,2014-12-18
-46013.46580212766,PDS,Other,Enrolled,Not Vaccinated,Yes,No,No,
127752.53726774774,PDS,Other,Not Enrolled,Not Vaccinated,Yes,Yes,Yes,2014-05-23
65529.944593013985,MGNREGA,Other,Not Enrolled,Vaccinated,Yes,Yes,No,
44073.00675996332,PDS,LPG Subsidy,Not Enrolled,Not Vaccinated,No,Yes,Yes,2017-09-29
31540.227879022226,MGNREGA,Other,Not Enrolled,Vaccinated,No,Yes,No,
82080.04277582673,PDS,Other,Enrolled,Vaccinated,No,No,No,
55032.21858684385,PDS,Direct Benefit Transfer,Enrolled,Vaccinated,No,No,Yes,2023-03-08
52354.149737912194,PDS,LPG Subsidy,Not Enrolled,Vaccinated,No,Yes,Yes,2016-05-06
41878.58133546636,Other,LPG Subsidy,Enrolled,Vaccinated,Yes,No,No,
38770.49765920247,MGNREGA,Other,Not Enrolled,Vaccinated,No,No,Yes,2013-01-24
-19750.40334122583,MGNREGA,LPG Subsidy,Enrolled,Vaccinated,Yes,Yes,No,
-41817.27409044902,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,No,Yes,2014-01-12
215117.0841384584,Other,Direct Benefit Transfer,Enrolled,Vaccinated,Yes,No,Yes,2020-02-23
-73805.1180150638,PDS,LPG Subsidy,Not Enrolled,Not Vaccinated,No,Yes,No,
27479.459634799256,Other,LPG Subsidy,Not Enrolled,Vaccinated,No,No,No,
20132.00963823627,Other,LPG Subsidy,Enrolled,Vaccinated,No,Yes,Yes,2020-09-20
-26399.461331495495,MGNREGA,Other,Enrolled,Not Vaccinated,No,Yes,Yes,2017-10-11
-76370.09841611118,PDS,Other,Not Enrolled,Vaccinated,No,No,Yes,2022-06-07
112118.61193422278,Other,Other,Enrolled,Vaccinated,No,No,No,
-50438.941705688485,Other,Other,Enrolled,Not Vaccinated,No,No,Yes,2016-06-24
5518.380984349941,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,Yes,No,Yes,2018-07-24
183274.34967330145,PDS,Other,Enrolled,Vaccinated,No,No,Yes,2010-05-06
107084.6211685454,Other,Direct Benefit Transfer,Not Enrolled,Vaccinated,Yes,No,Yes,2013-01-28
151319.6256690851,PDS,LPG Subsidy,Enrolled,Vaccinated,No,Yes,Yes,2012-09-09
267.58715109258264,PDS,Other,Enrolled,Vaccinated,Yes,No,No,
107065.40326657743,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,No,No,
87450.96793918368,PDS,Direct Benefit Transfer,Enrolled,Vaccinated,No,Yes,No,
20122.175361477646,Other,Other,Enrolled,Not Vaccinated,No,No,Yes,2016-01-07
36703.509163178715,Other,LPG Subsidy,Not Enrolled,Vaccinated,No,No,Yes,2016-11-06
2902.1299880558695,Other,LPG Subsidy,Enrolled,Vaccinated,Yes,No,No,
14497.15277444572,Other,Direct Benefit Transfer,Enrolled,Vaccinated,No,No,No,
73081.76427339306,MGNREGA,Other,Not Enrolled,Vaccinated,No,No,Yes,2021-01-26
65541.11367518258,Other,Other,Not Enrolled,Vaccinated,No,No,No,
72319.31220819776,PDS,LPG Subsidy,Not Enrolled,Vaccinated,No,No,Yes,2018-02-20
-46470.34772287092,Other,LPG Subsidy,Enrolled,Not Vaccinated,No,Yes,No,
-84663.3852282908,PDS,LPG Subsidy,Not Enrolled,Not Vaccinated,No,No,Yes,2017-11-10
65515.701807290825,PDS,Other,Not Enrolled,Vaccinated,Yes,No,Yes,2010-02-16
-18742.756360385847,MGNREGA,LPG Subsidy,Not Enrolled,Vaccinated,No,No,No,
-52788.18906949542,PDS,LPG Subsidy,Enrolled,Vaccinated,No,No,Yes,2016-10-13
2052.8709369144754,PDS,Other,Not Enrolled,Not Vaccinated,Yes,Yes,Yes,2013-06-07
82262.50674908391,MGNREGA,Other,Enrolled,Vaccinated,No,Yes,No,
-32162.652626585143,PDS,LPG Subsidy,Enrolled,Vaccinated,No,No,Yes,2010-05-13
-57191.02344410794,PDS,Direct Benefit Transfer,Enrolled,Vaccinated,Yes,Yes,Yes,2010-06-29
27700.118530892454,Other,LPG Subsidy,Not Enrolled,Vaccinated,No,No,Yes,2012-10-30
29626.400793941404,MGNREGA,Direct Benefit Transfer,Not Enrolled,Vaccinated,Yes,Yes,Yes,2018-06-11
46406.32838273273,Other,LPG Subsidy,Enrolled,Not Vaccinated,No,No,No,
30125.275939218693,MGNREGA,Other,Enrolled,Not Vaccinated,No,No,Yes,2011-11-02
-1437.1971238758524,Other,LPG Subsidy,Enrolled,Not Vaccinated,Yes,No,No,
59059.01739020546,MGNREGA,Other,Enrolled,Not Vaccinated,No,No,No,
-14000.932581102043,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,No,Yes,2019-07-10
19446.710596479774,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,Yes,2023-03-31
199238.09044691673,MGNREGA,Other,Not Enrolled,Vaccinated,Yes,No,Yes,2022-04-15
-16247.063908006046,PDS,Other,Enrolled,Not Vaccinated,Yes,Yes,No,
11196.391711007487,Other,Other,Not Enrolled,Not Vaccinated,No,No,Yes,2021-06-07
-15279.037891394666,MGNREGA,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,No,
7057.478885147226,MGNREGA,LPG Subsidy,Not Enrolled,Not Vaccinated,No,No,Yes,2010-05-02
46559.15316498708,MGNREGA,Other,Not Enrolled,Not Vaccinated,No,Yes,No,
243198.00317618914,MGNREGA,Direct Benefit Transfer,Enrolled,Vaccinated,No,Yes,No,
-117225.87618073425,Other,LPG Subsidy,Not Enrolled,Vaccinated,No,Yes,Yes,2014-02-08
-2461.987712969072,MGNREGA,LPG Subsidy,Enrolled,Not Vaccinated,No,No,No,
31925.181792083342,PDS,LPG Subsidy,Enrolled,Not Vaccinated,No,No,Yes,2012-09-29
117171.73743304996,PDS,Other,Enrolled,Not Vaccinated,No,No,Yes,2011-10-18
47500.12859672056,MGNREGA,Other,Not Enrolled,Vaccinated,No,No,Yes,2010-07-01
-44333.67163810615,MGNREGA,Direct Benefit Transfer,Enrolled,Vaccinated,Yes,No,No,
53164.9751129394,Other,LPG Subsidy,Enrolled,Vaccinated,Yes,No,No,
34177.7183510857,Other,Other,Enrolled,Vaccinated,No,Yes,No,
52928.38970079698,PDS,Direct Benefit Transfer,Enrolled,Vaccinated,Yes,Yes,No,
26568.055123588827,Other,LPG Subsidy,Enrolled,Not Vaccinated,No,No,No,
68139.82130589127,MGNREGA,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,No,No,
-50246.17466423758,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,No,
94725.70719358075,Other,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,No,
72208.1478721792,MGNREGA,LPG Subsidy,Enrolled,Vaccinated,No,No,Yes,2019-08-13
61497.620347407516,MGNREGA,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,No,Yes,2013-03-31
-101012.40022854441,Other,Other,Not Enrolled,Vaccinated,No,Yes,No,
305999.53649921535,MGNREGA,Other,Enrolled,Vaccinated,Yes,Yes,Yes,2014-04-20
-39492.255524181055,MGNREGA,Direct Benefit Transfer,Enrolled,Vaccinated,No,No,Yes,2016-12-22
59854.698673142666,MGNREGA,LPG Subsidy,Enrolled,Vaccinated,No,Yes,Yes,2023-09-15
9727.228907503171,MGNREGA,Other,Enrolled,Vaccinated,No,No,No,
13535.614588271143,PDS,Other,Not Enrolled,Vaccinated,No,Yes,Yes,2014-03-26
132847.60119266738,PDS,LPG Subsidy,Not Enrolled,Vaccinated,No,No,No,
-14528.399083496923,Other,Other,Not Enrolled,Not Vaccinated,No,Yes,No,
29592.415117065742,MGNREGA,Direct Benefit Transfer,Not Enrolled,Vaccinated,Yes,Yes,Yes,2017-07-02
96133.6377480774,Other,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,No,No,No,
52676.59753932976,Other,Other,Not Enrolled,Vaccinated,No,No,No,
75909.11833971161,MGNREGA,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,No,Yes,Yes,2023-04-11
83967.53869963721,MGNREGA,Other,Enrolled,Vaccinated,No,No,Yes,2017-06-12
-1660.8609230583224,MGNREGA,LPG Subsidy,Enrolled,Vaccinated,Yes,No,No,
63061.102325207765,Other,Other,Enrolled,Vaccinated,No,No,Yes,2013-03-26
-8885.183565112653,PDS,Other,Enrolled,Vaccinated,Yes,No,No,
52738.58988557923,PDS,Other,Enrolled,Not Vaccinated,No,No,Yes,2012-01-01
22829.855365846466,MGNREGA,LPG Subsidy,Not Enrolled,Not Vaccinated,No,No,Yes,2015-01-14
5717.365311400808,PDS,LPG Subsidy,Not Enrolled,Vaccinated,No,No,No,
5827.606419411413,PDS,LPG Subsidy,Not Enrolled,Vaccinated,No,No,No,
-15601.852953951751,MGNREGA,Other,Not Enrolled,Vaccinated,No,Yes,Yes,2018-07-25
106323.15124491599,PDS,Other,Not Enrolled,Vaccinated,No,Yes,Yes,2016-12-20
6712.355752751837,Other,LPG Subsidy,Not Enrolled,Vaccinated,No,Yes,Yes,2015-04-09
20660.612347713206,PDS,Other,Not Enrolled,Vaccinated,No,No,No,
-698.2282201430644,Other,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,No,No,
-18618.572806956305,Other,Other,Enrolled,Not Vaccinated,No,Yes,No,
17719.963392734986,PDS,Other,Not Enrolled,Not Vaccinated,Yes,Yes,No,
52192.589770363724,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,No,No,
27222.074894495097,MGNREGA,Direct Benefit Transfer,Not Enrolled,Vaccinated,Yes,No,No,
-32977.0356685226,Other,LPG Subsidy,Enrolled,Vaccinated,Yes,Yes,Yes,2024-09-04
69928.52607369261,PDS,LPG Subsidy,Enrolled,Not Vaccinated,No,Yes,No,
22225.06133794634,PDS,Direct Benefit Transfer,Enrolled,Vaccinated,No,No,No,
-50238.39234999369,PDS,Direct Benefit Transfer,Enrolled,Vaccinated,No,No,Yes,2023-04-03
85880.61377280805,PDS,LPG Subsidy,Not Enrolled,Vaccinated,No,Yes,Yes,2022-11-18
-32974.05035645971,PDS,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,Yes,Yes,No,
-51085.9536789229,PDS,Other,Not Enrolled,Vaccinated,No,No,Yes,2021-09-04
55045.07756760529,PDS,LPG Subsidy,Enrolled,Vaccinated,No,No,No,
-32143.496047769004,MGNREGA,LPG Subsidy,Enrolled,Vaccinated,No,Yes,Yes,2020-10-07
-189910.71946232032,PDS,Direct Benefit Transfer,Enrolled,Not Vaccinated,No,Yes,Yes,2012-03-03
35744.11871224471,Other,LPG Subsidy,Enrolled,Vaccinated,No,No,Yes,2018-06-10
-57272.08694453309,Other,Other,Not Enrolled,Vaccinated,No,No,No,
-146044.5422934008,MGNREGA,Other,Not Enrolled,Vaccinated,No,Yes,Yes,2016-09-03
13973.986072319243,MGNREGA,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,No,No,No,
108758.14207463062,MGNREGA,Other,Not Enrolled,Vaccinated,No,No,Yes,2017-03-29
-3365.8366243235796,Other,Direct Benefit Transfer,Enrolled,Vaccinated,No,No,Yes,2013-04-05
66383.07118301066,MGNREGA,Direct Benefit Transfer,Enrolled,Not Vaccinated,No,No,Yes,2015-03-20
108227.3393047988,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,No,
132596.97577446164,Other,Direct Benefit Transfer,Enrolled,Vaccinated,Yes,Yes,No,
20585.786461361615,PDS,Other,Enrolled,Vaccinated,No,Yes,Yes,2015-08-23
12771.862588431159,Other,LPG Subsidy,Enrolled,Vaccinated,No,Yes,Yes,2011-07-30
19592.31804369929,Other,Other,Enrolled,Vaccinated,No,No,Yes,2013-04-13
129947.71879115979,PDS,Other,Enrolled,Not Vaccinated,Yes,Yes,Yes,2022-07-16
42362.58670040205,Other,Direct Benefit Transfer,Enrolled,Not Vaccinated,No,No,No,
-12458.86040899823,MGNREGA,LPG Subsidy,Not Enrolled,Vaccinated,No,No,Yes,2015-07-10
20378.863508584076,MGNREGA,Other,Enrolled,Vaccinated,No,No,No,
-34268.531753716234,MGNREGA,Other,Not Enrolled,Vaccinated,Yes,No,Yes,2019-12-25
15262.632672091011,MGNREGA,LPG Subsidy,Not Enrolled,Vaccinated,Yes,No,Yes,2010-11-28
25290.66484353376,MGNREGA,Other,Enrolled,Not Vaccinated,No,Yes,Yes,2019-03-22
-43705.44222822411,PDS,Other,Not Enrolled,Vaccinated,No,Yes,No,
193357.90414965048,MGNREGA,Direct Benefit Transfer,Enrolled,Vaccinated,No,Yes,Yes,2010-10-05
22004.309076604994,MGNREGA,Other,Not Enrolled,Vaccinated,No,Yes,No,
6015.767397055126,Other,Other,Not Enrolled,Vaccinated,No,Yes,No,
-15001.38845837905,Other,LPG Subsidy,Enrolled,Not Vaccinated,No,No,Yes,2014-11-25
57126.676742429874,Other,Other,Enrolled,Not Vaccinated,No,Yes,No,
16928.11246099722,MGNREGA,Other,Not Enrolled,Not Vaccinated,No,Yes,No,
40932.06673603205,MGNREGA,Direct Benefit Transfer,Enrolled,Vaccinated,No,Yes,No,
37318.05374268841,PDS,LPG Subsidy,Enrolled,Vaccinated,No,Yes,Yes,2010-06-09
27449.38116194958,MGNREGA,Direct Benefit Transfer,Enrolled,Vaccinated,No,Yes,No,
777.6011932065153,MGNREGA,Other,Enrolled,Vaccinated,No,Yes,No,
-24308.510976647172,Other,LPG Subsidy,Enrolled,Vaccinated,No,No,Yes,2023-05-10
72657.21781856816,PDS,LPG Subsidy,Not Enrolled,Not Vaccinated,No,Yes,No,
49999.76564389478,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,Yes,2022-11-16
-3440.767383131979,MGNREGA,Direct Benefit Transfer,Enrolled,Vaccinated,Yes,Yes,Yes,2018-02-05
-9868.676790816084,MGNREGA,Other,Enrolled,Vaccinated,No,No,No,
20673.981786757606,PDS,Other,Not Enrolled,Vaccinated,No,Yes,No,
88412.18735276509,MGNREGA,LPG Subsidy,Not Enrolled,Vaccinated,No,Yes,No,
97978.45596221989,Other,LPG Subsidy,Enrolled,Vaccinated,Yes,No,No,
61606.98135590661,MGNREGA,Other,Not Enrolled,Not Vaccinated,Yes,No,No,
22353.598162113423,Other,LPG Subsidy,Not Enrolled,Vaccinated,Yes,Yes,Yes,2021-02-21
78341.62683857136,MGNREGA,LPG Subsidy,Enrolled,Vaccinated,No,Yes,Yes,2016-11-11
12609.55163854362,MGNREGA,LPG Subsidy,Enrolled,Vaccinated,Yes,Yes,Yes,2018-07-06
-53140.3025822333,PDS,Other,Enrolled,Vaccinated,No,No,Yes,2016-03-19
37130.42491753801,PDS,LPG Subsidy,Not Enrolled,Vaccinated,No,No,No,
-36217.833301087645,MGNREGA,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,Yes,No,No,
-16295.74791557261,MGNREGA,Other,Enrolled,Not Vaccinated,No,No,Yes,2019-01-30
-19140.68068383496,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,Yes,Yes,Yes,2021-10-14
48619.07095539717,Other,LPG Subsidy,Not Enrolled,Vaccinated,No,Yes,Yes,2022-08-16
22261.396937910053,MGNREGA,Other,Enrolled,Vaccinated,No,No,Yes,2021-06-08
-40924.6397892128,MGNREGA,Direct Benefit Transfer,Enrolled,Not Vaccinated,No,No,Yes,2020-01-12
-67083.77967356416,Other,LPG Subsidy,Not Enrolled,Not Vaccinated,No,No,Yes,2020-08-18
111151.82122236653,PDS,Direct Benefit Transfer,Enrolled,Vaccinated,No,No,No,
-11280.992866371838,PDS,LPG Subsidy,Not Enrolled,Vaccinated,No,No,No,
10006.513831863786,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,Yes,Yes,Yes,2010-10-01
44045.376749158415,MGNREGA,Other,Not Enrolled,Vaccinated,No,Yes,Yes,2023-07-16
-52714.759939327516,Other,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,No,Yes,2023-06-18
36889.46739695843,MGNREGA,LPG Subsidy,Not Enrolled,Not Vaccinated,No,Yes,Yes,2023-04-16
69985.71094665794,PDS,LPG Subsidy,Enrolled,Vaccinated,No,Yes,No,
17367.999839434735,Other,LPG Subsidy,Not Enrolled,Vaccinated,No,No,No,
47926.90155072426,Other,LPG Subsidy,Not Enrolled,Vaccinated,No,Yes,No,
114251.66599845944,Other,Other,Enrolled,Not Vaccinated,No,No,No,
44057.191395995564,MGNREGA,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,Yes,No,Yes,2020-09-13
78892.1788279113,PDS,LPG Subsidy,Enrolled,Vaccinated,Yes,No,Yes,2017-10-17
5012.71941771049,Other,Other,Not Enrolled,Not Vaccinated,No,No,No,
-32449.762091605953,MGNREGA,Other,Enrolled,Not Vaccinated,No,Yes,Yes,2022-05-22
-30467.529707790978,MGNREGA,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,Yes,2018-11-26
12261.676498673492,MGNREGA,Other,Enrolled,Vaccinated,No,No,Yes,2018-03-12
82130.81861354786,Other,Other,Enrolled,Vaccinated,No,No,Yes,2015-04-06
-55262.84475100275,MGNREGA,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,No,
19991.53059196475,MGNREGA,Direct Benefit Transfer,Enrolled,Vaccinated,Yes,Yes,Yes,2024-03-09
29382.214497768724,Other,Direct Benefit Transfer,Enrolled,Not Vaccinated,Yes,No,No,
97738.15059051049,Other,Other,Not Enrolled,Vaccinated,No,Yes,Yes,2013-01-25
-106663.13476980953,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,Yes,2020-09-11
-8063.011431792154,PDS,Other,Enrolled,Not Vaccinated,No,Yes,Yes,2011-11-24
-234789.91958949436,Other,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,No,No,No,
13154.331465941235,MGNREGA,Other,Not Enrolled,Not Vaccinated,Yes,Yes,No,
47260.40261687454,PDS,LPG Subsidy,Enrolled,Vaccinated,Yes,Yes,No,
58648.912049385224,MGNREGA,Other,Enrolled,Vaccinated,No,No,No,
14850.745251146505,Other,LPG Subsidy,Enrolled,Vaccinated,No,No,No,
40874.08443152793,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,No,No,
65320.62814461427,PDS,Direct Benefit Transfer,Enrolled,Vaccinated,No,No,Yes,2023-02-22
18870.824321796696,Other,Direct Benefit Transfer,Enrolled,Vaccinated,No,No,Yes,2023-02-26
-46741.44157628157,PDS,LPG Subsidy,Enrolled,Vaccinated,No,Yes,No,
109276.27100840435,Other,Other,Enrolled,Vaccinated,No,No,No,
-80976.405123282,MGNREGA,Other,Not Enrolled,Not Vaccinated,No,No,No,
26541.700818921217,Other,Direct Benefit Transfer,Enrolled,Not Vaccinated,Yes,No,No,
90279.08480887531,MGNREGA,LPG Subsidy,Enrolled,Vaccinated,Yes,No,No,
-3988.3023766073493,MGNREGA,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,No,
-19108.58348569891,MGNREGA,Direct Benefit Transfer,Enrolled,Not Vaccinated,No,Yes,No,
11275.631361429601,MGNREGA,Direct Benefit Transfer,Enrolled,Not Vaccinated,No,No,Yes,2017-03-16
88043.80339741465,Other,Other,Not Enrolled,Vaccinated,No,No,Yes,2022-03-31
102397.14924901111,Other,LPG Subsidy,Not Enrolled,Vaccinated,No,Yes,Yes,2024-07-05
135785.67070722132,Other,LPG Subsidy,Enrolled,Not Vaccinated,No,No,Yes,2022-11-27
27857.006813314765,Other,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,No,No,Yes,2024-01-26
-58790.570756924746,MGNREGA,Direct Benefit Transfer,Enrolled,Vaccinated,No,Yes,Yes,2021-10-22
-141675.63993157627,Other,Direct Benefit Transfer,Enrolled,Not Vaccinated,No,Yes,No,
-54836.137233703936,PDS,Other,Enrolled,Vaccinated,No,Yes,No,
39310.17139827947,Other,Other,Enrolled,Vaccinated,No,No,No,
-15948.012787095082,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,Yes,Yes,No,
29711.891667618947,MGNREGA,Other,Not Enrolled,Vaccinated,No,No,Yes,2018-01-11
35328.84115107248,MGNREGA,LPG Subsidy,Enrolled,Vaccinated,No,Yes,Yes,2013-07-11
136640.17215185656,Other,Direct Benefit Transfer,Enrolled,Vaccinated,No,Yes,No,
6617.615026740708,Other,LPG Subsidy,Not Enrolled,Vaccinated,Yes,No,Yes,2018-10-23
253827.91661111222,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,Yes,Yes,2016-09-27
-13886.367269939226,Other,LPG Subsidy,Enrolled,Vaccinated,No,Yes,No,
-31393.421302323855,Other,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,No,Yes,2019-09-26
40562.894820282825,PDS,Direct Benefit Transfer,Enrolled,Vaccinated,Yes,Yes,No,
-320.8009643576279,MGNREGA,LPG Subsidy,Enrolled,Not Vaccinated,No,Yes,No,
18635.004043848978,MGNREGA,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,No,Yes,No,
-29895.950378946887,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,Yes,No,No,
185784.46060184718,Other,Other,Not Enrolled,Not Vaccinated,No,No,Yes,2012-03-07
94194.9376150367,Other,Direct Benefit Transfer,Not Enrolled,Vaccinated,Yes,No,Yes,2010-12-30
36200.94622247667,PDS,LPG Subsidy,Enrolled,Not Vaccinated,No,Yes,No,
-46784.8400282341,Other,LPG Subsidy,Enrolled,Vaccinated,No,No,No,
-1955.73195374657,Other,Direct Benefit Transfer,Not Enrolled,Vaccinated,No,No,No,
58885.309624930975,MGNREGA,LPG Subsidy,Not Enrolled,Vaccinated,Yes,Yes,No,
56254.826759905256,Other,Other,Enrolled,Vaccinated,Yes,No,No,
-59071.119557519996,Other,LPG Subsidy,Not Enrolled,Vaccinated,No,No,No,
-57027.100023968815,PDS,Direct Benefit Transfer,Not Enrolled,Vaccinated,Yes,Yes,No,
5930.347226072335,MGNREGA,Other,Not Enrolled,Vaccinated,No,Yes,Yes,2021-01-23
-216875.70430825345,PDS,Direct Benefit Transfer,Enrolled,Vaccinated,Yes,Yes,No,
-41639.16990373995,PDS,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,No,No,Yes,2018-05-25
52738.42810767036,MGNREGA,Other,Enrolled,Vaccinated,No,No,No,
3098.548288098698,MGNREGA,Direct Benefit Transfer,Enrolled,Vaccinated,No,Yes,Yes,2012-07-20
33997.55365200611,PDS,Direct Benefit Transfer,Enrolled,Vaccinated,No,No,Yes,2024-08-26
-57532.586784019324,MGNREGA,LPG Subsidy,Enrolled,Vaccinated,No,No,No,
48242.88049773649,PDS,LPG Subsidy,Not Enrolled,Vaccinated,Yes,No,No,
15034.126417382764,MGNREGA,Other,Not Enrolled,Not Vaccinated,Yes,No,No,
72189.88844879024,MGNREGA,Direct Benefit Transfer,Not Enrolled,Not Vaccinated,No,Yes,No,
62156.33703391078,Other,Other,Not Enrolled,Vaccinated,No,Yes,Yes,2018-05-09
-13805.327984120588,MGNREGA,Direct Benefit Transfer,Enrolled,Vaccinated,No,Yes,No,
12941.318643459357,Other,LPG Subsidy,Enrolled,Not Vaccinated,No,Yes,No,
97019.51668365975,PDS,LPG Subsidy,Enrolled,Not Vaccinated,No,Yes,No,
51294.74019792163,Other,Other,Not Enrolled,Vaccinated,No,No,No,
100099.74263512497,MGNREGA,Other,Enrolled,Vaccinated,No,No,Yes,2016-11-13
31524.3794599453,Other,LPG Subsidy,Not Enrolled,Vaccinated,No,No,No,
5285.501641412275,Other,Other,Not Enrolled,Vaccinated,No,Yes,No,
22174.054776928104,Other,LPG Subsidy,Not Enrolled,Not Vaccinated,No,Yes,No,
51479.64977726262,MGNREGA,Other,Enrolled,Vaccinated,No,No,No,
-380.58860445708706,Other,Other,Not Enrolled,Vaccinated,No,No,No,
113761.48826020387,MGNREGA,Other,Enrolled,Not Vaccinated,Yes,Yes,No,
20124.589173715256,PDS,Other,Enrolled,Not Vaccinated,Yes,No,No,
2805.0449711172946,MGNREGA,Other,Not Enrolled,Vaccinated,Yes,Yes,No,
7166.839289106283,Other,LPG Subsidy,Not Enrolled,Vaccinated,No,No,Yes,2021-07-28
8201.073546664029,PDS,LPG Subsidy,Enrolled,Not Vaccinated,No,No,Yes,2012-11-10
-1043.3885396962505,MGNREGA,LPG Subsidy,Not Enrolled,Vaccinated,Yes,Yes,Yes,2024-12-05
46911.50358654117,PDS,LPG Subsidy,Enrolled,Vaccinated,No,Yes,No,
-72863.55776018406,Other,LPG Subsidy,Enrolled,Vaccinated,No,No,No,
40037.36389211137,MGNREGA,LPG Subsidy,Not Enrolled,Not Vaccinated,Yes,Yes,No,
