State,City,Origin State,Religion,Caste,Education Level,Occupation,Household Size,Income Bracket
Manipur,Kalyan-Dombivli,Assam,Hindu,OBC,Primary,Farmer,-5.791276335844973,Below Poverty Line
Arunachal Pradesh,Tirupati,Haryana,Hindu,General,Post Graduate,Businessman,28.70010012658683,Middle Class
Kerala,Agra,Andhra Pradesh,Hindu,OBC,Higher Secondary,Farmer,-1.0338663294002952,Lower Middle Class
Uttarakhand,Gaya,Kerala,Hindu,OBC,Higher Secondary,Teacher,0.9109978758586497,Middle Class
Manipur,Allahabad,Punjab,Sikh,OBC,Secondary,Farmer,4.411850187118423,Below Poverty Line
Chhattisgarh,Parbhani,Punjab,Hindu,General,Post Graduate,Daily Wage Worker,0.894877257898292,Lower Middle Class
West Bengal,Bhopal,Kerala,Hindu,SC,Higher Secondary,Businessman,1.0595557893946908,Middle Class
Mizoram,Korba,Nagaland,Hindu,SC,Primary,Daily Wage Worker,18.19723185250222,Below Poverty Line
Sikkim,Proddatur,Goa,Hindu,ST,Graduate,Engineer,34.79015711457436,Lower Middle Class
Gujarat,Bidhannagar,Goa,Hindu,OBC,Higher Secondary,Daily Wage Worker,1.8816169386543906,Middle Class
Tamil Nadu,Varanasi,Assam,Hindu,General,Higher Secondary,Farmer,11.478915691582623,Below Poverty Line
Rajasthan,Bhagalpur,Chhattisgarh,Hindu,ST,Graduate,Engineer,16.18250089540771,Upper Middle Class
Bihar,Ludhiana,Jharkhand,Hindu,SC,Graduate,Businessman,11.67063684283401,Middle Class
Haryana,Patiala,Uttar Pradesh,Hindu,OBC,Higher Secondary,Teacher,-9.000088740423132,Middle Class
Andhra Pradesh,Agartala,Punjab,Hindu,SC,Post Graduate,Businessman,8.320982287504284,Lower Middle Class
Punjab,Saharanpur,Maharashtra,Hindu,General,Graduate,Businessman,6.047568292755519,Lower Middle Class
Karnataka,Mira-Bhayandar,Bihar,Hindu,OBC,Secondary,IT Professional,9.15023874467822,Middle Class
Odisha,Navi Mumbai,Andhra Pradesh,Hindu,OBC,Secondary,Farmer,40.96060810680569,Middle Class
Punjab,Suryapet,Nagaland,Hindu,OBC,Post Graduate,Engineer,7.542709448390482,Lower Middle Class
Uttar Pradesh,Pimpri-Chinchwad,Jharkhand,Muslim,OBC,Doctorate,Engineer,-0.0200234084895472,Below Poverty Line
Gujarat,Pali,Uttarakhand,Hindu,General,Graduate,Engineer,9.03791654617358,Lower Middle Class
Sikkim,Maheshtala,Gujarat,Hindu,SC,Secondary,Businessman,2.608373509986932,Below Poverty Line
Jharkhand,Thrissur,Chhattisgarh,Hindu,OBC,Higher Secondary,Farmer,-10.704164913056017,Lower Middle Class
Tripura,Korba,Bihar,Hindu,OBC,Primary,Farmer,3.3609014601323004,Middle Class
Arunachal Pradesh,Phusro,Maharashtra,Hindu,SC,Secondary,Daily Wage Worker,24.183568039712465,Middle Class
Chhattisgarh,Jehanabad,Manipur,Hindu,OBC,Graduate,IT Professional,-7.475060726856018,Below Poverty Line
Telangana,Raichur,Andhra Pradesh,Muslim,OBC,Higher Secondary,Farmer,0.9267586284197213,Rich
Telangana,Hindupur,West Bengal,Hindu,SC,Graduate,Farmer,11.610614787405243,Upper Middle Class
Chhattisgarh,Buxar,Meghalaya,Muslim,OBC,Secondary,Farmer,-0.9056139599247341,Lower Middle Class
Uttarakhand,Jodhpur,Himachal Pradesh,Hindu,OBC,Graduate,Daily Wage Worker,8.331439729932267,Lower Middle Class
Assam,Ghaziabad,Tamil Nadu,Hindu,General,Post Graduate,Engineer,-0.7309311098941293,Below Poverty Line
Himachal Pradesh,Tadipatri,Tamil Nadu,Hindu,General,Higher Secondary,Daily Wage Worker,10.668068488188261,Middle Class
Haryana,Thrissur,Madhya Pradesh,Hindu,OBC,Post Graduate,Doctor,3.5430648866445895,Below Poverty Line
West Bengal,Shimoga,Rajasthan,Hindu,OBC,Graduate,Farmer,18.408530373044137,Below Poverty Line
Mizoram,Muzaffarpur,Arunachal Pradesh,Hindu,OBC,Higher Secondary,Daily Wage Worker,-1.3391310048371787,Upper Middle Class
West Bengal,Jaipur,Himachal Pradesh,Hindu,OBC,Primary,Farmer,7.426372175312267,Rich
Chhattisgarh,Guntur,West Bengal,Hindu,ST,Higher Secondary,Farmer,5.753435296314266,Upper Middle Class
Bihar,Erode,Odisha,Hindu,OBC,Graduate,Farmer,14.405012560982518,Lower Middle Class
Odisha,Tiruvottiyur,Meghalaya,Muslim,SC,Post Graduate,Farmer,-8.008243736585005,Below Poverty Line
Haryana,Karnal,Odisha,Hindu,OBC,Graduate,Farmer,-0.1020201619749983,Middle Class
Uttar Pradesh,Mathura,Meghalaya,Hindu,OBC,Higher Secondary,Farmer,-6.51439518607226,Below Poverty Line
Sikkim,Bilaspur,Assam,Muslim,General,Primary,Teacher,-0.9010441864759571,Lower Middle Class
Arunachal Pradesh,Chennai,Karnataka,Hindu,OBC,Primary,Businessman,8.276329606317066,Rich
Tripura,Medininagar,Sikkim,Hindu,General,Post Graduate,Daily Wage Worker,7.938840242736642,Middle Class
Maharashtra,Deoghar,Madhya Pradesh,Hindu,OBC,Higher Secondary,Daily Wage Worker,1.3957494166963191,Lower Middle Class
Haryana,Malegaon,Uttar Pradesh,Hindu,General,Primary,Farmer,-12.22879838826887,Below Poverty Line
Bihar,Jodhpur,Uttarakhand,Hindu,OBC,Higher Secondary,IT Professional,5.667770270185018,Rich
Bihar,Karaikudi,Odisha,Hindu,OBC,Higher Secondary,Engineer,15.582765190620872,Below Poverty Line
Tripura,Nandyal,Punjab,Muslim,OBC,Graduate,Daily Wage Worker,0.3186389150237616,Middle Class
Nagaland,Morena,Chhattisgarh,Buddhist,OBC,Higher Secondary,Businessman,4.242442690837452,Upper Middle Class
Haryana,Panipat,Nagaland,Hindu,ST,Primary,Farmer,2.9535036043659915,Below Poverty Line
Odisha,Khandwa,Madhya Pradesh,Hindu,OBC,Graduate,Farmer,-8.645618365754615,Lower Middle Class
Manipur,Berhampore,Haryana,Muslim,OBC,Higher Secondary,Businessman,3.330778253025249,Rich
Karnataka,Medininagar,Gujarat,Muslim,SC,Higher Secondary,Farmer,-0.6934021723014623,Lower Middle Class
Uttarakhand,Tiruchirappalli,Andhra Pradesh,Hindu,General,Higher Secondary,Farmer,2.4404428610134516,Lower Middle Class
Assam,Sangli-Miraj & Kupwad,Meghalaya,Hindu,OBC,Secondary,Businessman,-10.35673005922591,Lower Middle Class
Kerala,Shimla,Haryana,Hindu,OBC,Doctorate,Daily Wage Worker,8.417213959342593,Below Poverty Line
West Bengal,Eluru,Arunachal Pradesh,Hindu,General,Graduate,Teacher,16.21939786013668,Middle Class
Uttar Pradesh,Jabalpur,Assam,Hindu,General,Primary,Businessman,7.716644391978444,Lower Middle Class
Jharkhand,Vasai-Virar,Manipur,Muslim,OBC,Graduate,Daily Wage Worker,3.9413339107540963,Lower Middle Class
Rajasthan,Thoothukudi,Assam,Hindu,OBC,Primary,Teacher,13.40758908328651,Lower Middle Class
Tamil Nadu,Kakinada,Tamil Nadu,Hindu,OBC,Graduate,Teacher,28.324327324971115,Lower Middle Class
Odisha,Jehanabad,Telangana,Hindu,OBC,Higher Secondary,Farmer,4.453010954933234,Upper Middle Class
Himachal Pradesh,Chandrapur,West Bengal,Hindu,SC,Higher Secondary,Businessman,16.540152403563667,Middle Class
Haryana,Narasaraopet,Tripura,Hindu,General,Higher Secondary,Daily Wage Worker,12.747427091847715,Middle Class
West Bengal,Faridabad,Tamil Nadu,Muslim,SC,Higher Secondary,Farmer,1.9501508004735446,Below Poverty Line
Maharashtra,Tiruppur,Sikkim,Hindu,General,Doctorate,Teacher,28.951020252091272,Lower Middle Class
Karnataka,Chandigarh,Uttarakhand,Hindu,OBC,Primary,Businessman,-1.2498247118737265,Lower Middle Class
Uttar Pradesh,Muzaffarpur,Assam,Hindu,SC,Post Graduate,Teacher,15.256130150641546,Below Poverty Line
Tamil Nadu,Bahraich,Telangana,Hindu,General,Post Graduate,Teacher,-0.46750264911072925,Below Poverty Line
Mizoram,Pondicherry,Arunachal Pradesh,Muslim,OBC,Higher Secondary,IT Professional,2.2990676722557812,Below Poverty Line
Tamil Nadu,Gulbarga,Mizoram,Hindu,General,Secondary,Daily Wage Worker,6.946200521882462,Middle Class
Karnataka,Anantapur,West Bengal,Hindu,SC,Doctorate,Teacher,-29.85337358139455,Upper Middle Class
Odisha,Jaipur,Bihar,Hindu,General,Graduate,Daily Wage Worker,-16.905045502604832,Below Poverty Line
West Bengal,Davanagere,Madhya Pradesh,Muslim,OBC,Higher Secondary,Teacher,-0.33379542265248574,Middle Class
Maharashtra,Gwalior,Tripura,Hindu,General,Graduate,Farmer,2.792691214933752,Lower Middle Class
West Bengal,Katihar,Punjab,Hindu,OBC,Higher Secondary,Engineer,-2.5463654209147286,Middle Class
Telangana,Gandhidham,Odisha,Hindu,OBC,Higher Secondary,IT Professional,-0.8282973467827477,Lower Middle Class
Maharashtra,Varanasi,Jharkhand,Hindu,General,Primary,Businessman,24.22876306185146,Upper Middle Class
Andhra Pradesh,Solapur,Jharkhand,Hindu,General,Secondary,Teacher,12.835129247272652,Lower Middle Class
Goa,Ramgarh,Meghalaya,Muslim,OBC,Graduate,Businessman,8.266805343807516,Upper Middle Class
Meghalaya,Tenali,Rajasthan,Hindu,OBC,Graduate,Farmer,-10.932409252694114,Lower Middle Class
Madhya Pradesh,Delhi,Uttar Pradesh,Hindu,OBC,Graduate,IT Professional,11.246717036824798,Rich
Maharashtra,Srinagar,Chhattisgarh,Hindu,OBC,Higher Secondary,Daily Wage Worker,-2.6541173625483925,Lower Middle Class
Tripura,Jodhpur,Gujarat,Hindu,ST,Graduate,Doctor,23.6774030672046,Lower Middle Class
West Bengal,Alwar,Chhattisgarh,Muslim,General,Graduate,Farmer,14.420086764364392,Upper Middle Class
Himachal Pradesh,Amaravati,Arunachal Pradesh,Muslim,OBC,Doctorate,Businessman,-5.912780881828073,Middle Class
Chhattisgarh,Navi Mumbai,Maharashtra,Hindu,OBC,Higher Secondary,Farmer,-8.236294986353625,Below Poverty Line
Sikkim,Burhanpur,Telangana,Hindu,OBC,Doctorate,Businessman,5.223564924672235,Below Poverty Line
Telangana,Sagar,Maharashtra,Hindu,General,Doctorate,Teacher,-1.7868970293642548,Lower Middle Class
Tamil Nadu,Bilaspur,Uttar Pradesh,Muslim,OBC,Graduate,Teacher,-2.7813266275382027,Lower Middle Class
Maharashtra,Guntur,Tamil Nadu,Hindu,General,Graduate,Engineer,24.423064008536087,Lower Middle Class
Chhattisgarh,Phusro,Uttar Pradesh,Hindu,OBC,Higher Secondary,Engineer,8.035490697960931,Below Poverty Line
Rajasthan,Avadi,Goa,Hindu,SC,Post Graduate,Farmer,7.817812128698323,Lower Middle Class
Sikkim,Katihar,Odisha,Hindu,SC,Post Graduate,IT Professional,-4.792207171923366,Lower Middle Class
Meghalaya,Morena,Gujarat,Muslim,OBC,Primary,IT Professional,-5.077446453560627,Lower Middle Class
Chhattisgarh,Rohtak,Gujarat,Hindu,General,Secondary,Farmer,-3.060042454330712,Upper Middle Class
Assam,Tirunelveli,Manipur,Hindu,OBC,Doctorate,IT Professional,-11.510018986975012,Upper Middle Class
Kerala,Pondicherry,Bihar,Muslim,OBC,Primary,Farmer,-1.9550099107513752,Below Poverty Line
Tripura,Ichalkaranji,Maharashtra,Muslim,OBC,Graduate,Doctor,6.443215354659081,Middle Class
Kerala,Gopalpur,Uttar Pradesh,Hindu,OBC,Higher Secondary,Engineer,0.09734643322217096,Upper Middle Class
Himachal Pradesh,Fatehpur,Punjab,Hindu,OBC,Higher Secondary,Teacher,8.614473555738886,Lower Middle Class
Himachal Pradesh,Giridih,Punjab,Sikh,OBC,Higher Secondary,Businessman,14.154190296633386,Lower Middle Class
West Bengal,Ulhasnagar,Telangana,Hindu,SC,Graduate,Teacher,12.704656280593586,Rich
Karnataka,Ajmer,Kerala,Hindu,OBC,Graduate,Businessman,1.713025122983943,Lower Middle Class
Assam,Kadapa,Rajasthan,Hindu,SC,Primary,Farmer,-1.839084097109403,Lower Middle Class
Uttar Pradesh,Gaya,Goa,Hindu,General,Post Graduate,Farmer,-6.095005375342293,Lower Middle Class
Sikkim,Guntur,Assam,Hindu,OBC,Primary,Engineer,1.0959060175973292,Middle Class
Kerala,Arrah,Andhra Pradesh,Hindu,SC,Graduate,Businessman,-12.865315106605351,Below Poverty Line
Arunachal Pradesh,Thrissur,Manipur,Muslim,OBC,Secondary,Doctor,29.576549064494664,Middle Class
Goa,Visakhapatnam,Manipur,Hindu,ST,Primary,IT Professional,15.596809329796796,Lower Middle Class
Andhra Pradesh,Jhansi,West Bengal,Hindu,OBC,Graduate,Businessman,0.444161785526636,Upper Middle Class
Madhya Pradesh,Bardhaman,Gujarat,Muslim,SC,Higher Secondary,Daily Wage Worker,13.155198285481498,Lower Middle Class
Manipur,Kirari Suleman Nagar,Gujarat,Hindu,OBC,Secondary,IT Professional,-6.199333162116812,Lower Middle Class
Assam,Ongole,Maharashtra,Hindu,General,Primary,Businessman,4.885218410196428,Below Poverty Line
Sikkim,Miryalaguda,Uttarakhand,Hindu,OBC,Secondary,Businessman,6.49163756132869,Below Poverty Line
Madhya Pradesh,Bihar Sharif,Uttar Pradesh,Hindu,OBC,Higher Secondary,Farmer,7.12751602908589,Middle Class
Meghalaya,Jalandhar,Goa,Hindu,General,Graduate,Farmer,10.052088999012298,Middle Class
Sikkim,Durgapur,Manipur,Hindu,OBC,Graduate,IT Professional,9.977141802514533,Below Poverty Line
Odisha,Ramgarh,Bihar,Hindu,General,Graduate,Daily Wage Worker,2.89620191753899,Upper Middle Class
Gujarat,Miryalaguda,Chhattisgarh,Hindu,OBC,Secondary,Businessman,8.631942994911917,Upper Middle Class
Bihar,Ongole,Himachal Pradesh,Hindu,OBC,Higher Secondary,Businessman,2.233804572656438,Lower Middle Class
Punjab,Aligarh,Gujarat,Hindu,SC,Graduate,Engineer,4.370401577992718,Upper Middle Class
Uttarakhand,Ramgarh,Manipur,Hindu,SC,Post Graduate,Daily Wage Worker,-6.814593515801817,Below Poverty Line
Jharkhand,Barasat,Meghalaya,Hindu,General,Higher Secondary,Daily Wage Worker,10.920296187377488,Lower Middle Class
Telangana,Medininagar,Punjab,Hindu,OBC,Secondary,Businessman,-2.3370419581837094,Middle Class
Meghalaya,Bikaner,Bihar,Hindu,OBC,Higher Secondary,Businessman,5.019341662549217,Lower Middle Class
Uttarakhand,Hindupur,Madhya Pradesh,Hindu,ST,Higher Secondary,Businessman,12.08999391156782,Middle Class
Maharashtra,Panipat,Manipur,Hindu,OBC,Post Graduate,Businessman,11.854407746505725,Middle Class
Haryana,Gandhidham,Karnataka,Muslim,General,Graduate,Daily Wage Worker,13.036723453430373,Upper Middle Class
Meghalaya,Alappuzha,Meghalaya,Hindu,General,Primary,IT Professional,14.637564963798372,Middle Class
Karnataka,Mysore,Punjab,Hindu,SC,Graduate,Daily Wage Worker,-2.9224753401130394,Middle Class
Odisha,Proddatur,Uttar Pradesh,Hindu,General,Graduate,Farmer,15.06218917026452,Lower Middle Class
Telangana,Mirzapur,Odisha,Muslim,General,Higher Secondary,Engineer,16.40751002518431,Middle Class
Andhra Pradesh,Jamnagar,Assam,Hindu,General,Graduate,Daily Wage Worker,17.201644045236378,Upper Middle Class
Jharkhand,Imphal,Himachal Pradesh,Hindu,General,Secondary,Farmer,2.2837471904158475,Lower Middle Class
Jharkhand,Bhind,Maharashtra,Hindu,OBC,Graduate,Businessman,-9.803050311069713,Middle Class
Tamil Nadu,Ambattur,Karnataka,Muslim,General,Secondary,Businessman,4.533817888457364,Lower Middle Class
Tamil Nadu,Raichur,Uttarakhand,Hindu,General,Higher Secondary,Engineer,5.588547270332004,Middle Class
Gujarat,Medininagar,Assam,Muslim,OBC,Higher Secondary,Daily Wage Worker,-5.120272514215998,Below Poverty Line
Tamil Nadu,Miryalaguda,Arunachal Pradesh,Hindu,General,Primary,IT Professional,11.43573008331458,Lower Middle Class
Himachal Pradesh,Kota,Goa,Muslim,General,Graduate,Teacher,-14.212123985569942,Middle Class
Rajasthan,Jamshedpur,Chhattisgarh,Other,General,Higher Secondary,Engineer,8.295573953518666,Middle Class
Jharkhand,Bareilly,Sikkim,Hindu,OBC,Primary,Teacher,2.522533873165979,Lower Middle Class
Goa,Raurkela Industrial Township,Punjab,Hindu,General,Primary,Daily Wage Worker,10.923331740489223,Lower Middle Class
Arunachal Pradesh,Hospet,Tamil Nadu,Muslim,General,Primary,Businessman,5.123926768106012,Lower Middle Class
Tripura,Sirsa,Punjab,Hindu,General,Higher Secondary,Farmer,14.987992560846848,Below Poverty Line
Chhattisgarh,Ratlam,Maharashtra,Hindu,ST,Doctorate,Engineer,10.465542556423113,Middle Class
Punjab,Bareilly,Mizoram,Muslim,OBC,Secondary,Teacher,-5.361939593345284,Lower Middle Class
Arunachal Pradesh,Sonipat,Himachal Pradesh,Muslim,General,Primary,Businessman,4.652307213067098,Lower Middle Class
West Bengal,Aizawl,Goa,Muslim,ST,Higher Secondary,Teacher,8.631083011609896,Below Poverty Line
Odisha,Munger,Uttar Pradesh,Muslim,OBC,Graduate,Teacher,13.123397375745004,Below Poverty Line
Sikkim,Gorakhpur,Uttarakhand,Muslim,General,Higher Secondary,Farmer,8.882795473942325,Below Poverty Line
Assam,Purnia,Arunachal Pradesh,Hindu,SC,Higher Secondary,Daily Wage Worker,-1.4835299475692163,Lower Middle Class
Himachal Pradesh,Tiruchirappalli,Odisha,Hindu,OBC,Higher Secondary,Doctor,10.280888071143252,Lower Middle Class
Sikkim,Warangal,Nagaland,Hindu,General,Secondary,Engineer,10.406792951910452,Middle Class
Gujarat,Junagadh,Uttarakhand,Christian,OBC,Graduate,Businessman,7.16315939605834,Lower Middle Class
Haryana,Davanagere,Nagaland,Hindu,General,Graduate,Doctor,9.901817583531585,Lower Middle Class
Jharkhand,Howrah,West Bengal,Hindu,OBC,Higher Secondary,Businessman,2.7743104292115053,Middle Class
Goa,Morbi,Sikkim,Hindu,OBC,Graduate,Engineer,39.695247331327685,Upper Middle Class
Chhattisgarh,Bhimavaram,Punjab,Hindu,OBC,Graduate,Doctor,9.473530760301912,Lower Middle Class
Uttarakhand,Saharanpur,Assam,Hindu,SC,Primary,Businessman,0.7111187020946307,Upper Middle Class
Telangana,Rajahmundry,Himachal Pradesh,Hindu,ST,Graduate,Teacher,12.608247054273836,Middle Class
Madhya Pradesh,Ghaziabad,Himachal Pradesh,Hindu,OBC,Higher Secondary,Businessman,3.934814305680712,Middle Class
Manipur,Panchkula,Jharkhand,Hindu,General,Graduate,Teacher,-1.4001196429996319,Lower Middle Class
Manipur,Kakinada,Rajasthan,Hindu,General,Higher Secondary,Engineer,0.9361030930663619,Middle Class
West Bengal,Katihar,Uttarakhand,Hindu,OBC,Secondary,Businessman,0.818776797641557,Lower Middle Class
Karnataka,Arrah,Nagaland,Hindu,OBC,Secondary,Teacher,-3.9348735786154814,Rich
Karnataka,Deoghar,West Bengal,Hindu,General,Graduate,Engineer,1.1647830079735857,Middle Class
Mizoram,Gudivada,Karnataka,Hindu,General,Graduate,Farmer,13.020796144573351,Below Poverty Line
Maharashtra,Etawah,Manipur,Hindu,General,Higher Secondary,Daily Wage Worker,-3.4387710268166227,Below Poverty Line
Bihar,Malda,Tamil Nadu,Hindu,General,Higher Secondary,Teacher,-2.0737436725786154,Middle Class
Chhattisgarh,Sambalpur,Punjab,Hindu,OBC,Graduate,Engineer,-4.498652927846887,Lower Middle Class
Chhattisgarh,Hindupur,Uttarakhand,Christian,General,Post Graduate,Businessman,16.508981925624774,Middle Class
Chhattisgarh,Morena,Rajasthan,Hindu,OBC,Graduate,Daily Wage Worker,10.119690087617625,Upper Middle Class
West Bengal,Muzaffarnagar,Himachal Pradesh,Hindu,SC,Secondary,Teacher,-0.5465072365442865,Below Poverty Line
Punjab,Ratlam,Gujarat,Hindu,OBC,Graduate,IT Professional,-7.575064023708192,Middle Class
Karnataka,Jalgaon,Goa,Hindu,OBC,Doctorate,Businessman,4.571566476498647,Lower Middle Class
Andhra Pradesh,Bikaner,Mizoram,Hindu,General,Secondary,Daily Wage Worker,12.734170005845343,Lower Middle Class
West Bengal,Gudivada,West Bengal,Hindu,OBC,Higher Secondary,Daily Wage Worker,4.3404855190505325,Below Poverty Line
Arunachal Pradesh,Ballia,Gujarat,Hindu,SC,Higher Secondary,Daily Wage Worker,-22.202717030409783,Upper Middle Class
Rajasthan,Pimpri-Chinchwad,Manipur,Hindu,General,Higher Secondary,Farmer,4.871982036423628,Lower Middle Class
Rajasthan,Kulti,Punjab,Hindu,OBC,Primary,Farmer,14.526149221354157,Below Poverty Line
Mizoram,Etawah,Rajasthan,Hindu,General,Secondary,Farmer,4.150207245802538,Rich
Goa,Udupi,Uttarakhand,Hindu,OBC,Doctorate,Daily Wage Worker,30.358455758188864,Below Poverty Line
Goa,Udaipur,Bihar,Hindu,General,Higher Secondary,Teacher,13.06487027230051,Upper Middle Class
Uttar Pradesh,Hubli–Dharwad,Uttar Pradesh,Muslim,General,Higher Secondary,Businessman,7.837285637941241,Rich
Assam,Howrah,Maharashtra,Hindu,General,Post Graduate,Daily Wage Worker,5.581623174954059,Middle Class
Meghalaya,Tenali,Goa,Hindu,General,Secondary,Daily Wage Worker,0.4566359694229484,Lower Middle Class
Assam,Bijapur,Chhattisgarh,Hindu,General,Secondary,IT Professional,5.23465365318661,Below Poverty Line
Arunachal Pradesh,Madanapalle,Haryana,Sikh,General,Higher Secondary,Teacher,-4.65236095986682,Middle Class
Uttarakhand,Tinsukia,Madhya Pradesh,Muslim,General,Secondary,Businessman,5.440607653701392,Below Poverty Line
Kerala,Alappuzha,Manipur,Hindu,OBC,Higher Secondary,Daily Wage Worker,12.744213400648615,Upper Middle Class
Meghalaya,Guntakal,Andhra Pradesh,Hindu,OBC,Higher Secondary,Farmer,12.194723213777923,Lower Middle Class
Meghalaya,Kollam,Sikkim,Hindu,OBC,Graduate,Doctor,13.419046559325093,Below Poverty Line
Uttarakhand,Tiruppur,Uttarakhand,Hindu,General,Graduate,Doctor,-5.20253614330173,Lower Middle Class
Sikkim,Jamalpur,Chhattisgarh,Hindu,General,Doctorate,Teacher,10.39230318364432,Middle Class
Chhattisgarh,Belgaum,Madhya Pradesh,Hindu,General,Doctorate,Farmer,-3.931011463959438,Below Poverty Line
Bihar,Singrauli,Bihar,Hindu,General,Higher Secondary,Teacher,14.155109498450399,Middle Class
Meghalaya,Nizamabad,Telangana,Hindu,General,Graduate,Teacher,2.970668148730854,Middle Class
Goa,Alappuzha,Haryana,Hindu,General,Higher Secondary,Daily Wage Worker,3.686110845606202,Middle Class
Tamil Nadu,Gorakhpur,Meghalaya,Christian,SC,Secondary,Farmer,8.832088122937796,Lower Middle Class
Goa,Bahraich,Karnataka,Hindu,OBC,Post Graduate,Farmer,-5.948400907010681,Upper Middle Class
Arunachal Pradesh,Katni,Assam,Hindu,General,Primary,Farmer,12.737642191825199,Below Poverty Line
Chhattisgarh,Dharmavaram,Gujarat,Hindu,OBC,Secondary,Engineer,10.168408158492083,Below Poverty Line
Uttar Pradesh,Hindupur,West Bengal,Hindu,General,Higher Secondary,Farmer,19.95916572184974,Middle Class
Mizoram,Guntur,Haryana,Hindu,General,Secondary,Businessman,-22.835015862846845,Below Poverty Line
Kerala,Nagaon,Assam,Christian,OBC,Primary,Businessman,11.433809947089415,Lower Middle Class
Maharashtra,Jaipur,Karnataka,Muslim,ST,Secondary,Businessman,-25.449938904044508,Middle Class
Manipur,Siliguri,Kerala,Hindu,ST,Doctorate,Teacher,1.32536136370949,Middle Class
Uttar Pradesh,Bangalore,Odisha,Hindu,OBC,Secondary,IT Professional,5.950804086553945,Middle Class
Karnataka,Ramagundam,Maharashtra,Hindu,ST,Post Graduate,Engineer,22.91096297594153,Middle Class
Tripura,Suryapet,Kerala,Hindu,SC,Post Graduate,Farmer,-2.2124844903986256,Rich
Karnataka,Satna,Haryana,Hindu,SC,Higher Secondary,Farmer,38.18480357613092,Upper Middle Class
Haryana,Eluru,Arunachal Pradesh,Hindu,OBC,Post Graduate,Farmer,10.953732620790092,Middle Class
Kerala,Raebareli,Bihar,Muslim,ST,Secondary,Daily Wage Worker,7.0480625053278105,Lower Middle Class
Odisha,Pune,Uttar Pradesh,Hindu,OBC,Higher Secondary,Farmer,12.935952214432868,Below Poverty Line
Kerala,Latur,Bihar,Hindu,ST,Graduate,Businessman,9.448984300211125,Lower Middle Class
Chhattisgarh,Mirzapur,Madhya Pradesh,Hindu,General,Secondary,Teacher,7.381825039728067,Below Poverty Line
Kerala,Satara,Himachal Pradesh,Muslim,General,Post Graduate,IT Professional,-5.860277544745255,Lower Middle Class
Bihar,Saharsa,Tripura,Muslim,OBC,Higher Secondary,Teacher,4.828465531722486,Middle Class
Kerala,Raurkela Industrial Township,Andhra Pradesh,Hindu,General,Graduate,Daily Wage Worker,3.2418712757997623,Lower Middle Class
Madhya Pradesh,Kottayam,Tamil Nadu,Hindu,ST,Secondary,IT Professional,11.510678397689569,Below Poverty Line
Odisha,Eluru,Odisha,Muslim,OBC,Post Graduate,IT Professional,15.437921854629467,Middle Class
Jharkhand,Kollam,Jharkhand,Hindu,General,Graduate,Farmer,-0.8701377569189237,Lower Middle Class
Kerala,Nangloi Jat,Manipur,Muslim,OBC,Higher Secondary,Farmer,13.912074509175381,Middle Class
Assam,Rourkela,Kerala,Christian,OBC,Secondary,Farmer,6.374906441130266,Rich
Nagaland,Bhiwani,Manipur,Muslim,OBC,Doctorate,Businessman,16.95442664048643,Lower Middle Class
Rajasthan,Anantapuram,Rajasthan,Hindu,General,Post Graduate,Farmer,6.879128528347314,Middle Class
Uttar Pradesh,Karnal,Haryana,Hindu,SC,Doctorate,Farmer,21.709081959116844,Middle Class
Manipur,Haldia,Tamil Nadu,Hindu,General,Graduate,Businessman,2.063669695444913,Lower Middle Class
Assam,Muzaffarpur,Sikkim,Sikh,OBC,Higher Secondary,Teacher,1.1722202262895591,Lower Middle Class
Nagaland,Sirsa,Tamil Nadu,Hindu,OBC,Primary,Teacher,3.0707101103930414,Below Poverty Line
Himachal Pradesh,Parbhani,Uttarakhand,Hindu,OBC,Secondary,Farmer,15.293623442335306,Middle Class
Kerala,Nadiad,Chhattisgarh,Muslim,General,Higher Secondary,Engineer,2.326828287327219,Lower Middle Class
Tripura,Parbhani,Tripura,Hindu,General,Higher Secondary,Daily Wage Worker,14.818448693039795,Lower Middle Class
Himachal Pradesh,Madanapalle,Goa,Muslim,General,Higher Secondary,Farmer,7.39710709465311,Below Poverty Line
Himachal Pradesh,Mehsana,Chhattisgarh,Hindu,General,Secondary,Teacher,4.066292963988217,Below Poverty Line
Mizoram,Madhyamgram,Andhra Pradesh,Hindu,OBC,Doctorate,IT Professional,-3.0088194990811807,Lower Middle Class
Madhya Pradesh,Hindupur,Punjab,Hindu,OBC,Graduate,Farmer,5.525200519095277,Lower Middle Class
Punjab,Bhatpara,Tripura,Hindu,General,Graduate,Daily Wage Worker,-11.691777475575996,Upper Middle Class
Uttar Pradesh,Haldia,Gujarat,Hindu,SC,Secondary,Businessman,6.736441168882326,Middle Class
Meghalaya,Vijayanagaram,Chhattisgarh,Muslim,OBC,Secondary,Teacher,6.077548673362464,Below Poverty Line
Rajasthan,Madanapalle,Chhattisgarh,Hindu,OBC,Higher Secondary,IT Professional,20.96516759613793,Upper Middle Class
Kerala,New Delhi,Haryana,Muslim,General,Post Graduate,Teacher,8.948979861359014,Upper Middle Class
Odisha,Miryalaguda,Sikkim,Hindu,ST,Secondary,Teacher,-11.253832287791795,Lower Middle Class
Chhattisgarh,Mehsana,Telangana,Hindu,OBC,Graduate,Farmer,1.911829451792865,Lower Middle Class
